7.1.0	This NASA image is a composite of several satellite-based views of Earth.
7.28.333	Eggs and sperm are released into the water, and fertilization occurs externally.
7.28.334	The zygote then develops into a planuliform larva.
7.28.335	In some nemertine species, a pilidium larva may develop inside the young worm, from a series of imaginal discs.
7.28.336	This larval form, characteristically shaped like a deerstalker cap, devours tissues from the young worm for survival before metamorphosing into the adult-like morphology.
7.28.337	Phylum Mollusca Phylum Mollusca is the predominant phylum in marine environments.
7.28.338	It is estimated that 23 percent of all known marine species are mollusks; there are over 75,000 described species, making them the second most diverse phylum of animals.
7.28.339	The name “mollusca”
7.28.340	signifies a soft body, since the earliest descriptions of mollusks came from observations of unshelled cuttlefish.
7.28.341	Mollusks are predominantly a marine group of animals; however, they are known to inhabit freshwater as well as terrestrial habitats.
7.28.342	Mollusks display a wide range of morphologies in each class and subclass, but share a few key characteristics, including a muscular foot, a visceral mass containing internal organs, and a mantle that may or may not secrete a shell of calcium carbonate.
7.28.343	Mollusks have a muscular foot, which is used for locomotion and anchorage, and varies in shape and function, depending on the type of mollusk under study.
7.28.344	In shelled mollusks, this foot is usually the same size as the opening of the shell.
7.28.345	The foot is a retractable as well as an extendable organ.
7.28.346	The foot is the ventral-most organ, whereas the mantle is the limiting dorsal organ.
7.28.347	Mollusks are eucoelomate, but the coelomic cavity is restricted to a cavity around the heart in adult animals.
7.28.348	The mantle cavity develops independently of the coelomic cavity.
7.28.349	The visceral mass is present above the foot, in the visceral hump.
7.28.350	This includes digestive, nervous, excretory, reproductive, and respiratory systems.
7.28.351	Mollusk species that are exclusively aquatic have gills for respiration, whereas some terrestrial species have lungs for respiration.
7.28.352	Additionally, a tongue-like organ called a radula, which bears chitinous tooth-like ornamentation, is present in many species, and serves to shred or scrape food.
7.28.353	The mantle (also known as the pallium) is the dorsal epidermis in mollusks; shelled mollusks are specialized to secrete a chitinous and hard calcareous shell.
7.28.354	Most mollusks are dioecious animals and fertilization occurs externally, although this is not the case in terrestrial mollusks, such as snails and slugs, or in cephalopods.
7.28.355	In some mollusks, the zygote hatches and undergoes two larval stages— trochophore and veliger—before becoming a young adult; bivalves may exhibit a third larval stage, glochidia.
7.28.356	Classification of Phylum Mollusca Phylum Mollusca is a very diverse (85,000 species) group of mostly marine species.
7.28.357	Mollusks have a dramatic variety of form, ranging from large predatory squids and octopus, some of which show a high degree of intelligence, to grazing forms with elaborately sculpted and colored shells.
7.28.358	This phylum can be segregated into seven classes: Aplacophora, Monoplacophora, Polyplacophora, Bivalvia, Gastropoda, Cephalopoda, and Scaphopoda.
7.28.359	Class Aplacophora
7.28.360	(“bearing no plates”) includes worm-like animals primarily found in benthic marine habitats.
7.28.361	These animals lack a calcareous shell but possess aragonite spicules on their epidermis.
7.28.362	They have a rudimentary mantle cavity and lack eyes, tentacles, and nephridia (excretory organs).
7.28.363	Members of class Monoplacophora (“bearing one plate”) posses a single, cap-like shell that encloses the body.
7.28.364	The morphology of the shell and the underlying animal can vary from circular to ovate.
7.28.365	A looped digestive system, multiple pairs of excretory organs, many gills, and a pair of gonads are present in these animals.
7.28.366	The monoplacophorans were believed extinct and only known via fossil records until the discovery of Neopilina galathaea in 1952.
7.28.367	Today, scientists have identified nearly two dozen extant species.
7.28.368	Animals in the class Polyplacophora (“bearing many plates”) are commonly known as “chitons” and bear an armor-like eight-plated shell (Figure 28.21).
7.28.369	These animals have a broad, ventral foot that is adapted for suction to rocks and other substrates, and a mantle that extends beyond the shell in the form of a girdle.
7.28.370	Calcareous spines may be present on the girdle to offer protection from predators.
7.28.371	Respiration is facilitated by ctenidia (gills) that are present ventrally.
7.28.372	These animals possess a radula that is modified for scraping.
7.28.373	The nervous system is rudimentary with only buccal or “cheek” ganglia present at the anterior end.
7.28.374	Eyespots are absent in these animals.
7.28.375	A single pair of nephridia for excretion is present.
7.28.376	This chiton from the class Polyplacaphora has the eight-plated shell that is indicative of its class.
7.28.377	Class Bivalvia (“two shells”) includes clams, oysters, mussels, scallops, and geoducks.
7.28.378	Members of this class are found in marine as well as freshwater habitats.
7.28.379	As the name suggests, bivalves are enclosed in a pair of shells (valves are commonly called “shells”) that are hinged at the dorsal end by shell ligaments as well as shell teeth (Figure 28.22).
7.28.380	The overall morphology is laterally flattened, and the head region is poorly developed.
7.28.381	Eyespots and statocysts may be absent in some species.
7.28.382	Since these animals are suspension feeders, a radula is absent in this class of mollusks.
7.28.383	Respiration is facilitated by a pair of ctenidia, whereas excretion and osmoregulation are brought about by a pair of nephridia.
7.28.384	Bivalves often possess a large mantle cavity.
7.28.385	In some species, the posterior edges of the mantle may fuse to form two siphons that serve to take in and exude water.
7.28.386	These mussels, found in the intertidal zone in Cornwall, England, are bivalves.
7.28.387	One of the functions of the mantle is to secrete the shell.
7.28.388	Some bivalves like oysters and mussels possess the unique ability to secrete and deposit a calcareous nacre or “mother of pearl” around foreign particles that may enter the mantle cavity.
7.28.389	This property has been commercially exploited to produce pearls.
7.28.390	Animals in class Gastropoda
7.28.391	(“stomach foot”) include well-known mollusks like snails, slugs, conchs, sea hares, and sea butterflies.
7.28.392	Gastropoda includes shell-bearing species as well as species with a reduced shell.
