7.1.1.1	Chapter 1: Studying Life
7.3.1.3.2.1	Polymers are formed from monomers by a series of condensation reactions (in this case called dehydration reactions; both terms refer to the loss of water).
7.3.1.3.2.2	Condensation reactions result in the formation of covalent bonds between monomers.
7.3.1.3.2.3	A molecule of water is released with each covalent bond formed (Figure 3.4A).
7.3.1.3.2.4	The condensation reactions that produce the different kinds of polymers differ in detail, but in all cases polymers form only if water molecules are removed and energy is added to the system.
7.3.1.3.2.5	In living systems, specific energy-rich molecules supply the necessary energy.
7.3.1.3.3.1	The reverse of a condensation reaction is a hydrolysis reaction (hydro    water,  ? + lysis,    break  ?).
7.3.1.3.3.2	Hydrolysis reactions result in the breakdown of polymers into their component monomers.
7.3.1.3.3.3	Water reacts with the covalent bonds that link the polymer together.
7.3.1.3.3.4	For each covalent bond that is broken, a water molecule splits into two ions (H+ and OH-), each of which becomes part of one of the products (Figure 3.4B).
7.3.1.3.4.1	3.1 recap
7.3.1.3.5.1	The four kinds of large molecules that distinguish living tissues are proteins, lipids, carbohydrates, and nucleic acids.
7.3.1.3.5.2	Most are polymers: chains of linked monomers.
7.3.1.3.5.3	Very large polymers are called macromolecules.
7.3.1.3.5.4	Biological molecules carry out a variety of life-sustaining functions.
7.3.1.3.6.1	learning outcomes
7.3.1.3.7.1	You should be able to:
7.3.1.3.8.1	Distinguish between structural, cis-trans and optical isomers.
7.3.1.3.9.1	Give an example of two molecules that have the same functional groups but different properties, and explain the reason for the differences.
7.3.1.3.10.1	Sketch the chemical structures of two biological monomers, and show how a condensation reaction produces a covalent bond between the two.
7.3.1.3.11.1	What are the differences between structural, cis-trans, and optical isomers?
7.3.1.3.12.1	Examine the isomers mannose and galactose below.
7.3.1.3.12.2	What makes them isomers of each other?
7.3.1.3.12.3	Which functional groups do these carbohydrates contain, and what properties do these functional groups give to the molecules?
7.3.1.3.13.1	Below are the general structures of three monomers in a biological polymer where A, B, and C are numerous atoms.
7.3.1.3.13.2	Draw the reaction that links them together to form a polymer ABC.
7.3.1.3.13.3	H&#x2014;A&#x2014;OHH&#x2014;B&#x2014;OHH&#x2014;C&#x2014;OH
7.3.1.3.14.1	The four types of macromolecules can be seen as the building blocks of life.
7.3.1.3.14.2	We will cover the unique properties of the nucleic acids in Chapter 4.
7.3.1.3.14.3	The remainder of this chapter will describe the structures and functions of the proteins, carbohydrates, and lipids.
7.3.1.3.15.1	Chapter 3 continues with
7.3.1.3.16.1	3.2 The Function of a Protein Depends on Its Three-Dimensional Structure
7.3.2.1.1	Monomers of proteins link together to make the macromolecule
7.3.2.2.1	Peptide linkages form the backbone of a protein
7.3.2.3.1	The primary structure of a protein is its amino acid sequence
7.3.2.4.1	The secondary structure of a protein requires hydrogen bonding
7.3.2.5.1	The alpha helix
7.3.2.6.1	The beta pleated sheet
7.3.2.7.1	The tertiary structure of a protein is formed by bending and folding
7.3.2.8.1	The quaternary structure of a protein consists of subunits
7.3.2.9.1	Shape and surface chemistry contribute to protein function
7.3.2.10.1	Environmental conditions affect protein structure
7.3.2.11.1	Protein shapes can change
7.3.2.12.1	Molecular chaperones help shape proteins
7.3.2.13.1	Proteins have very diverse roles.
7.3.2.13.2	You   ll learn about the many functions of proteins (Table 3.1) in virtually every chapter of this book.
7.3.2.13.3	Proteins are polymers made up of 20 amino acids in different proportions and sequences.
7.3.2.13.4	Proteins range in size, from small ones such as the human hormone insulin, which has 51 amino acids and a molecular weight of 5,733, to huge molecules such as the muscle protein titin, with 26,926 amino acids and a molecular weight of 2,993,451.
7.3.2.13.5	Proteins consist of one or more polypeptide chains&#x2014;unbranched (linear) polymers of covalently linked amino acids.
7.3.2.13.6	Variation in the sequences of amino acids in the polypeptide chains allows for the vast diversity in protein structure and function.
7.3.2.13.7	Each chain folds into a particular three-dimensional shape that is specified by the sequence of amino acids present in the chain.
7.3.2.14.1	table 3.1 Proteins and Their Functions Category Function Enzymes Catalyze (speed up) biochemical reactions Structural proteins Provide physical stability and movement Defensive proteins Recognize and respond to nonself substances (e. g. , antibodies) Signaling proteins Control physiological processes (e. g. , hormones) Receptor proteins Receive and respond to chemical signals Membrane transporters Regulate passage of substances across cellular membranes Storage proteins Store amino acids for later use Transport proteins Bind and carry substances within the organism Gene regulatory proteins Determine the rate of expression of a gene Motor proteins Cause movement of structures in the cell
7.3.2.15.1	focus your learning
7.3.2.16.1	A protein   s tertiary structure describes its three-dimensional shape and is stabilized by hydrogen bonds, hydrophobic interactions, ionic attractions, and in some proteins, disulfide bonds.
7.3.2.17.1	Exposed surface groups on a protein provide both shapes and chemical groups that can interact specifically with other molecules or ions.
7.3.2.18.1	The forces that stabilize a protein   s secondary, tertiary, and quaternary structures make the protein vulnerable to disruption by environmental factors.
7.3.2.1.1.1	Each amino acid has both a carboxyl functional group and an amino functional group (see Figure 3.1) attached to the same carbon atom, called the    (alpha) carbon.
7.3.2.1.1.2	Also attached to the    carbon atom are a hydrogen atom and a side chain, or R group, designated by the letter R.
7.3.2.1.2.1	The    carbon in this example is asymmetrical because it is bonded to four different atoms or groups of atoms.
7.3.2.1.2.2	Therefore amino acids can exist as optical isomers called D-amino acids and L-amino acids.
7.3.2.1.2.3	D and L are abbreviations of the Latin terms for right (dextro) and left (levo).
7.3.2.1.2.4	Only L-amino acids (with the configuration shown above) are commonly found in the proteins of most organisms, and their presence is an important chemical    signature  ? of life.
7.3.2.1.3.1	At the pH levels typically found in cells (usually about pH 7), both the carboxyl and amino groups of amino acids are ionized: the carboxyl group has lost a hydrogen ion: COOH        COO    + H+
7.3.2.1.4.1	and the amino group has gained a hydrogen ion: NH2 + H+        NH3+
7.3.2.1.5.1	Thus amino acids are simultaneously acids and bases.
7.3.2.1.6.1	The side chains (or R groups) of amino acids contain functional groups that are important in determining the three-dimensional structure and thus the function of the protein.
7.3.2.1.6.2	As Table 3.2 shows, the 20 amino acids found in living organisms are grouped and distinguished by their side chains:
7.3.2.1.7.1	table 3.2 The Twenty Amino Acids
7.3.2.1.8.1	Five amino acids have electrically charged (ionized) side chains at pH levels typical of living cells.
7.3.2.1.8.2	These side chains attract water (are hydrophilic) and attract oppositely charged ions of all sorts.
7.3.2.1.9.1	Five amino acids have polar side chains.
7.3.2.1.9.2	They are also hydrophilic and attract other polar or charged molecules.
7.3.2.1.10.1	Seven amino acids have side chains that are nonpolar and thus hydrophobic.
7.3.2.1.10.2	In the watery environment of the cell, these hydrophobic groups may cluster together in the interior of the protein.
7.3.2.1.11.1	Three amino acids   cysteine, glycine, and proline   are special cases, although the side chains of the latter two are generally hydrophobic.
7.3.2.1.12.1	The cysteine side chain, which has a terminal    SH group, can react with another cysteine side chain in an oxidation reaction to form a covalent bond (Figure 3.5).
7.3.2.1.12.2	Such a bond, called a disulfide bridge or disulfide bond (   S   S   ), helps determine how a polypeptide chain folds.
7.3.2.1.13.1	The glycine side chain consists of a single hydrogen atom.
7.3.2.1.13.2	It is small enough to fit into tight corners in the interiors of protein molecules where larger side chains could not fit.
7.3.2.1.14.1	Proline possesses a modified amino group that lacks a hydrogen atom and instead forms a covalent bond with the hydrocarbon side chain, resulting in a ring structure.
7.3.2.1.14.2	This limits both its hydrogen-bonding ability and its ability to rotate around the    carbon.
7.3.2.1.14.3	So proline is often found where a protein bends or loops.
7.3.2.1.15.1	Figure 3.5  A Disulfide Bridge
7.3.2.1.16.1	Two cysteine molecules in a polypeptide chain can form a disulfide bridge (   S   S   ) by oxidation (removal of H atoms).
7.3.2.2.1.1	Linking amino acids involves a reaction between carboxyl and amino groups attached to the    carbon.
7.3.2.2.1.2	The carboxyl group of one amino acid reacts with the amino group of another, undergoing a condensation reaction that forms a peptide linkage (also called a peptide bond).
7.3.2.2.1.3	Figure 3.6 depicts this reaction.
7.3.2.2.1.4	Figure 3.6  Formation of Peptide Linkages
7.3.2.2.2.1	Just as a sentence begins with a capital letter and ends with a period, polypeptide chains have a beginning and an end.
7.3.2.2.2.2	The    capital letter  ? marking the beginning of a polypeptide is the amino group of the first amino acid added to the chain and is known as the N terminus.
7.3.2.2.2.3	The    period  ? is the carboxyl group of the last amino acid added; this is the C terminus.
7.3.2.2.3.1	Two characteristics of the peptide bond are especially important in the three-dimensional structures of proteins:
